iso3c,CPI score 2020,CPI score 2019,CPI score 2018,CPI score 2017,CPI score 2016,CPI score 2015,cpi15_20
DNK,88,87,88,88,90,91,88.66666666666667
NZL,88,87,87,89,90,91,88.66666666666667
FIN,85,86,85,85,89,90,86.66666666666667
SGP,85,85,85,84,84,85,84.66666666666667
SWE,85,85,85,84,88,89,86
CHE,85,85,85,85,86,86,85.33333333333333
NOR,84,84,84,85,85,88,85
NLD,82,82,82,82,83,84,82.5
DEU,80,80,80,81,81,81,80.5
LUX,80,80,81,82,81,85,81.5
AUS,77,77,77,77,79,79,77.66666666666667
CAN,77,77,81,82,82,83,80.33333333333333
HKG,77,76,76,77,77,75,76.33333333333333
GBR,77,77,80,82,81,81,79.66666666666667
AUT,76,77,76,75,75,76,75.83333333333333
BEL,76,75,75,75,77,77,75.83333333333333
EST,75,74,73,71,70,70,72.16666666666667
ISL,75,78,76,77,78,79,77.16666666666667
JPN,74,73,73,73,72,75,73.33333333333333
IRL,72,74,73,74,73,75,73.5
ARE,71,71,70,71,66,70,69.83333333333333
URY,71,71,70,70,71,74,71.16666666666667
FRA,69,69,72,70,69,70,69.83333333333333
BTN,68,68,68,67,65,65,66.83333333333333
CHL,67,67,67,67,66,70,67.33333333333333
USA,67,69,71,75,74,76,72
SYC,66,66,66,60,NA,55,62.6
TWN,65,65,63,63,61,62,63.166666666666664
BRB,64,62,68,68,61,NA,64.6
BHS,63,64,65,65,66,NA,64.6
QAT,63,62,62,63,61,71,63.666666666666664
ESP,62,62,58,57,58,58,59.166666666666664
KOR,61,59,57,54,53,54,56.333333333333336
PRT,61,62,64,63,62,64,62.666666666666664
BWA,60,61,61,61,60,63,61
BRN,60,60,63,62,58,NA,60.6
ISR,60,60,61,62,64,61,61.333333333333336
LTU,60,60,59,59,59,59,59.333333333333336
SVN,60,60,60,61,61,60,60.333333333333336
VCT,59,59,58,58,60,NA,58.8
CPV,58,58,57,55,59,55,57
CRI,57,56,56,59,58,55,56.833333333333336
CYP,57,58,59,57,55,61,57.833333333333336
LVA,57,56,58,58,57,56,57
GEO,56,56,58,56,57,52,55.833333333333336
POL,56,58,60,60,62,63,59.833333333333336
LCA,56,55,55,55,60,NA,56.2
DMA,55,55,57,57,59,NA,56.6
CZE,54,56,59,57,55,56,56.166666666666664
OMN,54,52,52,44,45,45,48.666666666666664
RWA,54,53,56,55,54,54,54.333333333333336
GRD,53,53,52,52,56,NA,53.2
ITA,53,53,52,50,47,44,49.833333333333336
MLT,53,54,54,56,55,60,55.333333333333336
MUS,53,52,51,50,54,53,52.166666666666664
SAU,53,53,49,49,46,52,50.333333333333336
MYS,51,53,47,47,49,50,49.5
NAM,51,52,53,51,52,53,52
GRC,50,48,45,48,44,46,46.833333333333336
ARM,49,42,35,35,33,35,38.166666666666664
JOR,49,48,49,48,48,53,49.166666666666664
SVK,49,50,50,50,51,51,50.166666666666664
BLR,47,45,44,44,40,32,42
HRV,47,47,48,49,49,51,48.5
CUB,47,48,47,47,47,47,47.166666666666664
STP,47,46,46,46,46,42,45.5
MNE,45,45,45,46,45,44,45
SEN,45,45,45,45,45,44,44.833333333333336
BGR,44,43,42,43,41,41,42.333333333333336
HUN,44,44,46,45,48,51,46.333333333333336
JAM,44,43,44,44,39,41,42.5
ROU,44,44,47,48,48,46,46.166666666666664
ZAF,44,44,43,43,45,44,43.833333333333336
TUN,44,43,43,42,41,38,41.833333333333336
GHA,43,41,41,40,43,47,42.5
MDV,43,29,31,33,36,NA,34.4
VUT,43,46,46,43,NA,NA,44.5
ARG,42,45,40,39,36,32,39
BHR,42,42,36,36,43,51,41.666666666666664
CHN,42,41,39,41,40,37,40
KWT,42,40,41,39,41,49,42
SLB,42,42,44,39,42,NA,41.8
BEN,41,41,40,39,36,37,39
GUY,41,40,37,38,34,29,36.5
LSO,41,40,41,42,39,44,41.166666666666664
BFA,40,40,41,42,42,38,40.5
IND,40,41,41,40,40,38,40
MAR,40,41,43,40,37,36,39.5
TLS,40,38,35,38,35,28,35.666666666666664
TTO,40,40,41,41,35,39,39.333333333333336
TUR,40,39,41,40,41,42,40.5
COL,39,37,36,37,37,37,37.166666666666664
ECU,39,38,34,32,31,32,34.333333333333336
BRA,38,35,35,37,40,38,37.166666666666664
ETH,38,37,34,35,34,33,35.166666666666664
KAZ,38,34,31,31,29,28,31.833333333333332
PER,38,36,35,37,35,36,36.166666666666664
SRB,38,39,39,41,42,40,39.833333333333336
LKA,38,38,38,38,36,37,37.5
SUR,38,44,43,41,45,36,41.166666666666664
TZA,38,37,36,36,32,30,34.833333333333336
GMB,37,37,37,30,26,28,32.5
IDN,37,40,38,37,37,36,37.5
ALB,36,35,36,38,39,36,36.666666666666664
DZA,36,35,35,33,34,36,34.833333333333336
CIV,36,35,35,36,34,32,34.666666666666664
SLV,36,34,35,33,36,39,35.5
KSV,36,36,37,39,36,33,36.166666666666664
THA,36,36,36,37,35,38,36.333333333333336
VNM,36,37,33,35,33,31,34.166666666666664
BIH,35,36,38,38,39,38,37.333333333333336
MNG,35,35,37,36,38,39,36.666666666666664
MKD,35,35,37,35,37,42,36.833333333333336
PAN,35,36,37,37,38,39,37
MDA,34,32,33,31,30,33,32.166666666666664
PHL,34,34,36,34,35,35,34.666666666666664
EGY,33,35,35,32,34,36,34.166666666666664
SWZ,33,34,38,39,NA,NA,36
NPL,33,34,31,31,29,27,30.833333333333332
SLE,33,33,30,30,30,29,30.833333333333332
UKR,33,30,32,30,29,27,30.166666666666668
ZMB,33,34,35,37,38,38,35.833333333333336
NER,32,32,34,33,35,34,33.333333333333336
BOL,31,31,29,33,33,34,31.833333333333332
KEN,31,28,27,28,26,25,27.5
KGZ,31,30,29,29,28,28,29.166666666666668
MEX,31,29,28,29,30,31,29.666666666666668
PAK,31,32,33,32,32,30,31.666666666666668
AZE,30,30,25,31,30,29,29.166666666666668
GAB,30,31,31,32,35,34,32.166666666666664
MWI,30,31,32,31,31,31,31
MLI,30,29,32,31,32,35,31.5
RUS,30,28,28,29,29,29,28.833333333333332
LAO,29,29,29,29,30,25,28.5
MRT,29,28,27,28,27,31,28.333333333333332
TGO,29,29,30,32,32,32,30.666666666666668
DOM,28,28,30,29,31,33,29.833333333333332
GIN,28,29,28,27,27,25,27.333333333333332
LBR,28,28,32,31,37,37,32.166666666666664
MMR,28,29,29,30,28,22,27.666666666666668
PRY,28,28,29,29,30,27,28.5
AGO,27,26,19,19,18,15,20.666666666666668
DJI,27,30,31,31,30,34,30.5
PNG,27,28,28,29,28,25,27.5
UGA,27,28,26,26,25,25,26.166666666666668
BGD,26,26,26,28,26,25,26.166666666666668
CAF,26,25,26,23,20,24,24
UZB,26,25,23,22,21,19,22.666666666666668
CMR,25,25,25,25,26,27,25.5
GTM,25,26,27,28,28,28,27
IRN,25,26,28,30,29,27,27.5
LBN,25,28,28,28,28,28,27.5
MDG,25,24,25,24,26,28,25.333333333333332
MOZ,25,26,23,25,27,31,26.166666666666668
NGA,25,26,27,27,28,26,26.5
TJK,25,25,25,21,25,26,24.5
HND,24,26,29,29,30,31,28.166666666666668
ZWE,24,24,22,22,22,21,22.5
NIC,22,22,25,26,26,27,24.666666666666668
KHM,21,20,20,21,21,21,20.666666666666668
TCD,21,20,19,20,20,22,20.333333333333332
COM,21,25,27,27,24,26,25
ERI,21,23,24,20,18,18,20.666666666666668
IRQ,21,20,18,18,17,16,18.333333333333332
AFG,19,16,16,15,15,11,15.333333333333334
BDI,19,19,17,22,20,21,19.666666666666668
COG,19,19,19,21,20,23,20.166666666666668
GNB,19,18,16,17,16,17,17.166666666666668
TKM,19,19,20,19,22,18,19.5
COD,18,18,20,21,21,22,20
HTI,18,18,20,22,20,17,19.166666666666668
PRK,18,17,14,17,12,8,14.333333333333334
LBY,17,18,17,17,14,16,16.5
GNQ,16,16,16,17,NA,NA,16.25
SDN,16,16,16,16,14,12,15
VEN,15,16,18,18,17,17,16.833333333333332
YEM,15,15,14,16,14,18,15.333333333333334
SYR,14,13,13,14,13,18,14.166666666666666
SOM,12,9,10,9,10,8,9.666666666666666
SSD,12,12,13,12,11,15,12.5
